Contig	Start	End	ID	Name	Product	females_depth	females_depth_corr	females_depth_coding	females_depth_coding_corr	females_depth_noncoding	females_depth_noncoding_corr	males_depth	males_depth_corr	males_depth_coding	males_depth_coding_corr	males_depth_noncoding	males_depth_noncoding_corr	females_snps	females_snps_coding	females_snps_noncoding	males_snps	males_snps_coding	males_snps_noncoding
2368	1861553	1875222	FUN_046586			69	68	62	61	70	69	67	67	55	55	67	67	0	0	0	0	0	0
2368	1584488	1645775	FUN_046584			95	94	108	107	95	94	85	85	95	95	84	84	0	0	0	0	0	0
2368	1401241	1420066	FUN_046580			429	425	84	83	440	436	404	407	75	75	414	417	14	0	14	0	0	0
2368	1190506	1250499	FUN_046573			66	65	72	71	66	65	65	65	71	71	65	65	0	0	0	1	0	1
2368	1124813	1124889	FUN_046571			66	65	0	0	0	0	60	60	0	0	0	0	0	0	0	0	0	0
2368	1101125	1101202	FUN_046569			81	80	0	0	0	0	75	75	0	0	0	0	0	0	0	0	0	0
2368	899905	900272	FUN_046566			70	69	70	69	0	0	79	79	79	79	0	0	0	0	0	0	0	0
2368	824297	824373	FUN_046561			66	65	0	0	0	0	65	65	0	0	0	0	0	0	0	0	0	0
2368	785480	788293	FUN_046559			75	74	80	79	74	73	72	72	80	80	70	70	0	0	0	0	0	0
2368	750372	751632	FUN_046558			84	83	84	83	86	85	76	76	76	76	71	71	0	0	0	0	0	0
2368	724136	725399	FUN_046557			60	59	61	60	45	44	63	63	64	64	52	52	0	0	0	0	0	0
2368	699211	719160	FUN_046556			71	70	62	61	71	70	68	68	65	65	68	68	1	0	1	0	0	0
2368	608811	627008	FUN_046554			72	71	73	72	72	71	73	73	74	74	73	73	0	0	0	2	0	2
2368	563130	601799	FUN_046553	MCM6		75	74	79	78	75	74	72	72	72	72	72	72	3	0	3	0	0	0
2368	537844	542022	FUN_046552			47	46	59	58	46	45	49	49	53	53	49	49	0	0	0	1	0	1
2368	477408	523504	FUN_046551	SH3BP5L		70	69	76	75	69	68	67	67	68	68	67	67	0	0	0	47	0	47
2368	433450	433844	FUN_046550			28	27	28	27	0	0	37	37	37	37	0	0	0	0	0	0	0	0
